full,lats,lngs
"1201 S Quintard Ave, Anniston, AL  36201",33.6327133179,-85.8252410889
"1530 Quintard Ave, Anniston, AL  36201",33.6641800404,-85.8269575238
"802 Cleveland Ave, Attalla, AL  35954",34.0186004639,-86.0727844238
"961 Gilbert Ferry Rd Se, Attalla, AL  35954",33.9971005172,-86.0943543166
"110 W Glenn Ave, Auburn, AL  36830",32.6093482971,-85.4824981689
"2346 Bent Creek Rd, Auburn, AL  36830",32.6075401306,-85.4309234619
"1738 Opelika Rd, Auburn, AL  36830",32.625617981,-85.443687439
"2167 S College St, Auburn, AL  36832",32.563369751,-85.5028610229
"3998 Methodist Cir, Bessemer, AL  35022",33.3371582031,-86.9169845581
"5010 Academy Ln, Bessemer, AL  35022",33.366645813,-87.0038757324
"800 11th St S, Birmingham, AL  35205",33.497177124,-86.8124771118
"9227 Parkway E, Birmingham, AL  35206",33.5883620381,-86.698833704
"185 Oxmoor Rd, Birmingham, AL  35209",33.4611091614,-86.8281784058
"1833 Crestwood Boulevard, Birmingham, AL  35210",33.532875061,-86.7022857666
"1833 Crestwood Blvd, Birmingham, AL  35210",33.532875061,-86.7022857666
"3023 Columbiana Rd, Birmingham, AL  35216",33.4150437266,-86.805678159
"1535 Montgomery Hwy, Birmingham, AL  35216",33.4110043198,-86.8064935505
"1324 Pinson Valley Pkwy, Birmingham, AL  35217",33.5828018188,-86.7753143311
"800 11th St, Birmingham, AL  35228",33.454044342,-86.9464950562
"800 11th Street, Birmingham, AL  35228",33.454044342,-86.9464950562
"1440 Gadsden Hwy, Birmingham, AL  35235",33.5975799561,-86.6450500488
"5419 Hwy 280, Birmingham, AL  35242",33.4148955345,-86.6656903177
"1985 Old Montgomery Highway, Birmingham, AL  35244",33.3534005284,-86.803593412
"1985 Montgomery Hwy S, Birmingham, AL  35244",33.3478879184,-86.7953389138
"County Road 437, Cullman, AL  35055",34.1129417419,-86.8666687012
"1900 Commerce Ave, Cullman, AL  35055",34.2060394287,-86.8753585815
"29100 Us Hwy 98, Daphne, AL  36526",30.6490974426,-87.9118347168
"6781 US Highway 90, Daphne, AL  36526",30.655626297,-87.9060287476
"2202 6th Ave Se, Decatur, AL  35601",34.5688896179,-86.9726791382
"710 6th Ave NE, Decatur, AL  35601",34.6077308655,-86.9789505005
"2442 S Oates St, Dothan, AL  36301",31.1920215189,-85.4011655599
"2849 Ross Clark Cir, Dothan, AL  36301",31.2158565521,-85.4313583374
"1925 E Main St, Dothan, AL  36301",31.2173862457,-85.3622055054
"2325 Reeves St, Dothan, AL  36303",31.2561187744,-85.3886947632
"3591 Ross Clark Cir, Dothan, AL  36303",31.2484779954,-85.4256085306
"4077 W Main St, Dothan, AL  36305",31.2341221422,-85.4531749338
"2971 Ross Clark Cir, Dothan, AL  36305",31.2289905548,-85.4321975708
"373 S Greeno Rd, Fairhope, AL  36532",30.5143127441,-87.8855361938
"373 Greeno Road South, Fairhope, AL  36532",30.514312,-87.885536
"2660 S Mckenzie St, Foley, AL  36535",30.3764791042,-87.6833720505
"12615 Foley Beach Expy, Foley, AL  36535",30.407468006,-87.6476436853
"2650 S Mckenzie St, Foley, AL  36535",30.3766601533,-87.6833720505
"1000 Rainbow Dr, Gadsden, AL  35901",33.9973526001,-86.0040740967
"102 E Meighan Blvd, Gadsden, AL  35903",34.0116462708,-85.9915161133
"75 E Meighan Blvd, Gadsden, AL  35903",34.0113363415,-85.9923505783
"2053 Gunter Ave, Guntersville, AL  35976",34.3363952637,-86.3134536743
"2312 Miller St, Guntersville, AL  35976",34.3366608024,-86.3137040287
"3613 Memorial Pkwy SW, Huntsville, AL  35801",34.6923446655,-86.5810546875
"7106 Bailey Creek Cir SE, Huntsville, AL  35802",34.672912,-86.538665
"36 Shields Rd, Huntsville, AL  35811",34.774684906,-86.5273284912
"3818 University Dr Nw, Huntsville, AL  35816",34.7350935638,-86.6249770671
"4896 University Dr Nw, Huntsville, AL  35816",34.7387886047,-86.6569824219
"3995 University Dr NW, Huntsville, AL  35816",34.734413147,-86.6256484985
"1754 Dauphin Island Pkwy, Mobile, AL  36605",30.6349658966,-88.0894546509
"3262 Dauphin St, Mobile, AL  36606",30.6903419495,-88.1225967407
"5610 Old Shell Rd, Mobile, AL  36608",30.689574033,-88.1716635078
"3428 Spring Hill Ave, Mobile, AL  36608",30.7038648427,-88.1253759563
"3651 Airport Blvd, Mobile, AL  36608",30.6752586365,-88.1313247681
"5011 Cottage Hill Rd, Mobile, AL  36609",30.6490746886,-88.1588157266
"5398 Highway 90 W, Mobile, AL  36619",30.5904579163,-88.170425415
"5448 Highway 90 W, Mobile, AL  36619",30.5863838196,-88.1703414917
"3671 Government Blvd, Mobile, AL  36693",30.6489448547,-88.1264953613
"560 Schillinger Rd S, Mobile, AL  36695",30.6787528992,-88.2260513306
"2423 Schillinger Rd S, Mobile, AL  36695",30.6403903961,-88.2236022949
"1269 Hillcrest Rd, Mobile, AL  36695",30.6631679535,-88.1899795532
"985 W South Blvd, Montgomery, AL  36105",32.323528,-86.334007
"160 Folmar Pkwy, Montgomery, AL  36105",32.2638302296,-86.3657435775
"90 Folmar Pkwy, Montgomery, AL  36105",32.2689857483,-86.3574905396
"5180 Carmichael Rd, Montgomery, AL  36106",32.3595428467,-86.2169036865
"2627 Zelda Rd, Montgomery, AL  36107",32.364102602,-86.2703628838
"2615 Zelda Road, Montgomery, AL  36107",32.3642807007,-86.2704315186
"2635 Cong W L Dickinson Dr, Montgomery, AL  36109",32.4206008911,-86.2308425903
"4117 Troy Hwy, Montgomery, AL  36116",32.3208847046,-86.2345581055
"1157 Eastern Boulevard, Montgomery, AL  36117",32.3646812439,-86.2109680176
"9225 Boyd-cooper Pkwy, Montgomery, AL  36117",32.3665924072,-86.1395339966
"1185 Eastern Blvd, Montgomery, AL  36117",32.3648314923,-86.2120261788
"Interstate Dr, Opelika, AL  36801",32.6177787781,-85.4033203125
"907 Fox Run Pkwy, Opelika, AL  36801",32.6444473267,-85.3545532227
"545 South Quintard Avenue, Oxford, AL  36203",33.6403600127,-85.8255667984
"65 Jimmy Hinton Dr, Oxford, AL  36203",33.6138648987,-85.7877197266
"545 Quintard Dr, Oxford, AL  36203",33.6156575382,-85.8276817203
"970 S Us Highway 231, Ozark, AL  36360",31.4490073174,-85.6592275947
"Hwy 231 S, Ozark, AL  36360",31.3865203857,-85.5787200928
"2965 Pelham Pkwy, Pelham, AL  35124",33.2978526503,-86.8106194586
"1020 Oak Mountain Park Rd, Pelham, AL  35124",33.3345412463,-86.7806115746
"1141 280 Byp, Phenix City, AL  36867",32.4696884155,-85.0298995972
"3707 Summerville Rd, Phenix City, AL  36867",32.4971656799,-85.0159759521
"3898 Us Highway 80 W, Phenix City, AL  36870",32.4700418115,-85.0899790227
"2597 Cobbs Ford Rd, Prattville, AL  36066",32.4604609609,-86.3898472488
"791 Business Park Dr, Prattville, AL  36066",32.4870852381,-86.4111862332
"824 E Main St, Prattville, AL  36067",32.4602048099,-86.4521261305
"1204 Industrial Pky, Saraland, AL  36571",30.8023508638,-88.10160622
"811 Saraland Blvd S, Saraland, AL  36571",30.8037945628,-88.0719081312
"5579 Highway 90, Theodore, AL  36582",30.5747032166,-88.1704940796
"7031 Theodore Dawes Rd, Theodore, AL  36582",30.560213089,-88.2067184448
"1208 Hwy 231 S, Troy, AL  36081",31.7825768888,-85.9532862157
"103 Hwy 231 N, Troy, AL  36081",31.7942512035,-85.9787162393
"3421 Mcfarland Blvd E, Tuscaloosa, AL  35405",33.1775474548,-87.5238342285
"5037 Oscar Baxter Dr, Tuscaloosa, AL  35405",33.1646461487,-87.5514373779
"5001 Skyland Blvd E, Tuscaloosa, AL  35405",33.1765594482,-87.4696807861
"2800 20th Ave, Valley, AL  36854",32.8464328498,-85.1837416738
"580 Fob James Dr, Valley, AL  36854",32.8177493066,-85.2077186108
"1551 S Eufaula Ave, Eufaula, AL 36027",31.8723175675,-85.1548422128
"670 Magnolia St, Lincoln, AL 35096",33.6134675145,-86.1190252751
"500 Fieldstown Rd, Gardendale, AL 35071",33.6524162292,-86.8192062378
"1635 Ted Bates Rd, Evergreen, AL 36401",31.4567870647,-86.9680409878
"1410 Glenn Blvd Sw, Fort Payne, AL 35968",34.4373589754,-85.7506614178
"394 Virginia Ave, Daleville, AL 36322",31.3000582159,-85.7260809839
"1334 Walker Chapel Rd, Fultondale, AL 35068",33.6078590155,-86.8023777008
"1128 N Chalkville Rd, Trussville, AL 35173",33.6393890381,-86.616065979
"2140 Moody Pky, Moody, AL 35004",33.5707962513,-86.5197553486
"944 Fort Dale Rd, Greenville, AL 36037",31.8486162275,-86.6402220726
"1104 1st Street South, Alabaster, AL 35007",33.2325334847,-86.8100649118
"4116 N Jackson Hwy, Sheffield, AL 35660",34.7736358643,-87.6686553955
"8979 Madison Blvd, Madison, AL 35758",34.675384,-86.753646
