GEO.id,GEO.id2,GEO.display-label,EST_VC02,MOE_VC02,EST_VC03,MOE_VC03,EST_VC04,MOE_VC04,EST_VC05,MOE_VC05,EST_VC06,MOE_VC06,EST_VC07,MOE_VC07,EST_VC08,MOE_VC08,EST_VC09,MOE_VC09,EST_VC10,MOE_VC10,EST_VC11,MOE_VC11,EST_VC12,MOE_VC12,EST_VC13,MOE_VC13,EST_VC14,MOE_VC14,EST_VC15,MOE_VC15,EST_VC16,MOE_VC16,EST_VC17,MOE_VC17,EST_VC18,MOE_VC18,EST_VC20,MOE_VC20,EST_VC21,MOE_VC21,EST_VC22,MOE_VC22,EST_VC23,MOE_VC23,EST_VC24,MOE_VC24,EST_VC25,MOE_VC25,EST_VC26,MOE_VC26,EST_VC27,MOE_VC27,EST_VC28,MOE_VC28,EST_VC30,MOE_VC30,EST_VC31,MOE_VC31,EST_VC32,MOE_VC32,EST_VC33,MOE_VC33,EST_VC34,MOE_VC34,EST_VC35,MOE_VC35,EST_VC37,MOE_VC37,EST_VC38,MOE_VC38,EST_VC39,MOE_VC39,EST_VC40,MOE_VC40,EST_VC41,MOE_VC41,EST_VC42,MOE_VC42,EST_VC43,MOE_VC43,EST_VC44,MOE_VC44,EST_VC45,MOE_VC45,EST_VC46,MOE_VC46,EST_VC47,MOE_VC47,EST_VC48,MOE_VC48,EST_VC49,MOE_VC49,EST_VC51,MOE_VC51,EST_VC52,MOE_VC52,EST_VC53,MOE_VC53,EST_VC54,MOE_VC54,EST_VC56,MOE_VC56,EST_VC57,MOE_VC57,EST_VC58,MOE_VC58,EST_VC59,MOE_VC59,EST_VC60,MOE_VC60,EST_VC61,MOE_VC61,EST_VC62,MOE_VC62,EST_VC63,MOE_VC63,EST_VC64,MOE_VC64,EST_VC65,MOE_VC65,EST_VC66,MOE_VC66,EST_VC67,MOE_VC67,EST_VC68,MOE_VC68,EST_VC69,MOE_VC69,EST_VC70,MOE_VC70,EST_VC71,MOE_VC71,EST_VC72,MOE_VC72,EST_VC73,MOE_VC73,EST_VC74,MOE_VC74,EST_VC75,MOE_VC75,EST_VC76,MOE_VC76,EST_VC77,MOE_VC77,EST_VC78,MOE_VC78,EST_VC79,MOE_VC79,EST_VC80,MOE_VC80,EST_VC81,MOE_VC81,EST_VC82,MOE_VC82,EST_VC83,MOE_VC83,EST_VC84,MOE_VC84,EST_VC85,MOE_VC85,EST_VC86,MOE_VC86,EST_VC87,MOE_VC87,EST_VC88,MOE_VC88,EST_VC89,MOE_VC89,EST_VC90,MOE_VC90,EST_VC91,MOE_VC91,EST_VC92,MOE_VC92,EST_VC93,MOE_VC93,EST_VC94,MOE_VC94,EST_VC95,MOE_VC95,EST_VC96,MOE_VC96,EST_VC97,MOE_VC97,EST_VC98,MOE_VC98,EST_VC99,MOE_VC99,EST_VC101,MOE_VC101,EST_VC102,MOE_VC102,EST_VC103,MOE_VC103,EST_VC104,MOE_VC104,EST_VC105,MOE_VC105,EST_VC106,MOE_VC106,EST_VC107,MOE_VC107,EST_VC108,MOE_VC108,EST_VC109,MOE_VC109,EST_VC110,MOE_VC110,EST_VC111,MOE_VC111,EST_VC112,MOE_VC112,EST_VC113,MOE_VC113,EST_VC114,MOE_VC114,EST_VC115,MOE_VC115,EST_VC116,MOE_VC116,EST_VC117,MOE_VC117,EST_VC118,MOE_VC118,EST_VC119,MOE_VC119
5000900US0101,0101,"Congressional District 1 (109th Congress), Alabama",497491,2879,305373,5658,303701,5854,284472,5728,19229,2370,1672,1014,192118,5673,303701,5854,6.3,0.8,261741,1976,144014,4063,143869,4063,133903,4295,49085,2249,28445,3129,100419,2817,71167,4051,279114,5803,235097,6513,27390,3299,1555,1108,3751,1835,3410,1281,7911,1451,23.7,1.0,284472,5728,81189,4477,46891,3957,80104,5093,957,415,33062,3381,42269,3547,5387,2462,23493,2639,35494,3422,8140,1571,44183,4440,12560,2012,3990,985,18928,2435,22181,2504,58724,4370,22246,2727,17066,2854,12080,2088,224175,5566,38736,3044,20450,2629,1111,644,252079,4387,30620,3341,18463,2639,40018,3136,32234,3009,40287,3350,43069,3764,21296,2597,18297,2114,4019,900,3776,859,36726,1426,50068,1864,190405,4379,51755,2225,78656,2789,12897,388,50282,2684,16707,1161,12193,1757,6931,813,4333,1178,2501,558,45406,3314,178565,4042,15036,2339,9417,2061,24824,2921,22458,2319,29552,2878,35568,3158,17977,2241,16180,1733,3826,869,3727,845,43667,2124,58013,2463,20474,770,73514,3776,21877,1420,29364,1610,22382,641,36291,1035,24410,1390,15.4,1.6,24.9,2.8,30.0,7.7,6.5,1.2,9.6,2.6,14.5,7.6,44.2,4.6,53.2,5.7,65.8,12.0,18.5,1.6,29.3,3.1,29.0,3.1,37.6,5.6,25.9,3.3,14.9,1.3,15.3,1.4,12.7,1.8,17.1,1.7,27.1,3.1
5000900US0102,0102,"Congressional District 2 (109th Congress), Alabama",487326,4838,304712,6413,299789,6503,279559,6562,20230,2039,4923,893,182614,5929,299789,6503,6.7,0.7,254946,3162,139542,4513,138828,4539,128481,4636,48586,2360,30809,2465,94574,3109,63834,4068,276038,6576,231591,6594,28880,3346,1070,543,4273,1092,4175,1067,6049,1172,21.0,0.6,279559,6562,79441,5137,43122,3642,71068,3672,2373,704,31740,2892,51815,3529,5920,1016,20049,2506,43296,4159,8670,1436,35189,2942,20437,1861,4053,883,15884,2064,17559,1692,52539,3872,21606,2449,13234,1724,21123,2253,213082,6232,47342,3988,18209,2160,926,632,251436,3292,33197,3069,18008,1830,38528,2906,31998,2599,38431,3100,44808,3178,22658,1913,16167,1767,3280,734,4361,1002,36139,1241,49599,1881,191120,3655,50926,2206,79960,2932,11988,371,49437,2724,18069,1012,15318,1809,6761,531,4308,1033,2288,716,31663,2712,173438,3576,14503,2369,8485,1420,24234,2536,20202,2063,28134,2692,36274,2893,19959,1803,14716,1738,2861,630,4070,966,44756,1760,58340,2575,20695,680,77998,4095,20649,1456,28020,1498,23165,753,35913,882,24478,1066,14.1,1.6,21.6,2.6,21.4,5.1,5.5,1.0,7.8,1.7,6.4,4.1,39.6,4.5,46.3,5.4,51.6,11.5,16.6,1.4,23.8,2.7,23.5,2.7,28.0,3.8,21.7,2.9,14.2,1.1,14.1,1.3,14.8,1.6,14.4,1.6,28.5,2.1
5000900US0103,0103,"Congressional District 3 (109th Congress), Alabama",488201,5473,294781,6603,292585,6818,266834,6692,25751,2980,2196,734,193420,5973,292585,6818,8.8,1.0,259531,3338,139793,3968,139533,3958,126277,3899,43356,2372,26278,2722,91383,3688,63643,4067,258712,6592,215389,6404,30265,3526,1323,702,3323,907,3394,927,5018,1136,22.0,0.8,266834,6692,76955,3951,40293,3198,64821,4053,2372,1026,31381,2763,51012,3221,3881,1045,20069,2605,52399,3205,7468,1402,32884,3310,10654,1536,4403,1046,15783,1860,15752,1852,57129,4026,19877,2622,11921,1784,14614,1647,205006,5533,45427,3263,15918,2353,483,328,253407,4064,37876,2936,24437,2563,37539,2846,31926,3165,40478,3180,38203,2660,20107,2190,16045,1900,3436,748,3360,802,33156,1363,45414,1306,189353,3743,47993,1469,77868,3284,12002,323,49037,2923,15541,992,14175,1855,6591,527,3750,1037,2400,474,28140,2392,165208,4136,12491,1886,10127,1798,21595,2335,21521,2211,29690,2872,31324,2358,17896,2026,14260,1821,3256,725,3048,785,42590,1498,55723,1893,19354,569,88199,3756,16994,1229,24779,1464,22425,674,37083,1292,25750,956,13.7,1.4,20.7,2.6,31.6,7.8,6.3,1.1,7.9,1.7,8.6,4.5,36.8,4.6,46.3,5.8,69.8,9.8,18.8,1.3,24.2,2.6,23.7,2.6,32.2,4.8,20.7,3.0,17.1,1.1,17.8,1.2,13.9,1.8,14.8,1.5,36.2,2.5
5000900US0104,0104,"Congressional District 4 (109th Congress), Alabama",503051,4231,296960,6041,296454,6057,276045,5809,20409,2343,506,390,206091,5054,296454,6057,6.9,0.8,258315,2488,130812,4651,130712,4654,120412,4472,44317,1947,25045,2439,91752,2260,58267,4232,268482,6025,219480,7111,35103,3918,386,283,2866,910,4784,1235,5863,1096,25.3,0.8,276045,5809,69261,4569,36755,2999,59798,4017,5187,1639,39816,3028,65228,3363,10700,1968,23684,2572,61644,3138,10471,1558,32085,3081,15567,2366,4525,1336,11949,1892,13448,1951,51369,3526,15845,2142,15501,2118,9257,1415,222078,5213,33034,2648,20096,2498,837,381,251106,3647,29451,2332,23265,2362,41582,3058,34832,2855,40834,3039,40920,2957,21500,2219,13214,1562,2942,834,2566,841,33917,1268,44751,1369,184725,3716,47723,1788,85473,3011,12237,337,49228,2655,14539,805,15922,1851,6243,418,3301,953,1821,614,21931,2251,181085,4418,12498,1830,9511,1779,26607,2674,25238,2405,34168,3055,35860,2948,20040,2177,11899,1438,2776,820,2488,821,41481,1245,52008,1531,18424,533,70021,3215,16328,884,24875,2321,21868,578,34363,1994,23131,1252,12.9,1.2,20.1,2.3,19.1,5.4,7.3,1.1,10.5,1.9,9.6,4.5,38.9,4.7,50.1,6.4,49.3,16.3,16.2,1.2,22.1,2.6,21.6,2.6,23.3,4.1,21.0,3.0,14.4,1.0,14.5,1.2,14.0,1.4,13.4,1.3,33.3,2.3
5000900US0105,0105,"Congressional District 5 (109th Congress), Alabama",513782,3035,322433,5848,320808,5751,298503,5725,22305,2591,1625,786,191349,5304,320808,5751,7.0,0.8,267209,1819,147312,4267,147003,4154,135205,4006,47203,2112,29359,3060,96066,2598,62465,3721,292021,5861,250256,6004,29001,2832,796,488,2146,890,4499,1092,5323,1185,21.9,0.5,298503,5725,103569,5259,41661,3839,72295,4261,1061,507,29926,2955,49991,3383,2944,899,19521,2164,54411,3755,9956,1652,38514,3402,13196,1673,3924,1034,14769,2018,29924,3056,53644,3206,24037,3178,13634,1785,20029,2158,228446,5919,51074,3566,18436,2613,547,317,266529,3859,26049,2589,18786,2268,38900,3651,32114,2953,39341,2450,47507,3152,27570,2324,24526,2506,7348,1144,4388,1297,41494,1267,55683,2326,205877,3834,57888,2679,76282,3154,12474,378,57543,3049,18922,913,13928,1771,6146,598,2624,819,2400,619,18911,2173,179238,3972,10503,1884,9185,1603,20365,2414,18960,2309,25478,1905,37727,2501,24135,2042,22023,2265,6723,1127,4139,1299,52011,1143,66692,3332,23655,826,87291,4258,23988,992,31930,1480,24652,963,41441,1166,28532,1731,11.4,1.4,18.7,2.4,26.0,6.5,5.0,1.0,7.9,1.9,11.6,5.8,35.0,5.1,43.5,6.6,52.3,15.9,14.4,1.3,21.8,2.5,21.5,2.5,29.7,5.0,18.5,2.6,12.2,1.1,12.3,1.2,11.5,1.7,12.4,1.4,24.4,2.3
5000900US0106,0106,"Congressional District 6 (109th Congress), Alabama",533453,7494,357096,7300,356265,7228,341304,7244,14961,2090,831,430,176357,4681,356265,7228,4.2,0.6,277901,3887,159768,4420,159662,4414,152439,4517,51662,2112,30242,2552,106053,3494,72300,3815,335507,7332,289526,7365,30678,3052,732,448,2503,1159,2406,884,9662,1733,26.3,0.6,341304,7244,129282,6648,39419,4228,97096,5344,773,499,36298,3936,38436,3101,4406,1309,27539,3196,34610,3761,23140,3041,39296,3855,17651,2303,10240,1750,31650,3098,34728,3448,70756,4802,19835,3221,14804,1987,12649,1915,273928,7328,45473,4002,21372,2192,531,328,272683,4973,18099,3043,15746,2473,27900,3046,27923,2914,39557,3331,57244,4312,32684,2803,33600,2871,9608,1249,10322,1343,52302,1753,69821,2126,223059,5354,70911,2704,71279,2820,14717,434,45252,2922,18034,1343,7934,1266,7115,806,1291,512,5526,3922,10717,1585,191432,4883,5118,1377,6433,1794,12984,2158,17198,2097,26961,2754,45179,3643,28711,2528,30854,2727,8920,1216,9074,1316,63140,2039,82136,2803,28619,807,81251,4327,27286,2511,39657,4001,30646,803,45089,2291,33467,1717,6.3,1.2,10.4,2.2,11.0,5.0,3.2,0.9,4.5,1.8,3.3,2.4,23.5,6.1,34.2,8.5,48.7,21.0,8.4,1.1,10.0,1.9,9.8,1.9,9.4,2.5,9.9,2.3,7.9,0.9,8.1,1.0,6.4,1.7,6.2,1.1,20.7,2.6
5000900US0107,0107,"Congressional District 7 (109th Congress), Alabama",455731,7070,268449,7544,268027,7510,237550,7913,30477,3058,422,307,187282,6912,268027,7510,11.4,1.2,248234,3934,134841,4613,134665,4629,118603,4690,46734,2475,31001,3286,88574,3210,62190,4431,231376,7939,188591,7485,29942,3369,2506,1112,4368,1351,2376,812,3593,1171,23.0,0.9,237550,7913,58362,4412,48408,3627,64755,4357,1226,494,21159,2875,43640,4062,4165,1044,16963,2619,31465,3187,8018,1736,29475,3198,16623,2125,4143,932,12746,1806,15613,2069,55442,4661,21562,2845,10552,1658,10783,1573,181291,7355,43557,3605,12281,1842,421,294,241452,4407,44500,3380,28026,3494,39053,3496,31058,2670,36395,2921,32134,2721,17618,2380,9408,1635,2268,704,992,583,27409,1383,37465,1152,176451,5091,40416,1543,73964,3131,11550,449,39370,2306,13883,935,23143,2491,6381,315,5278,1341,1780,438,39116,3424,154759,4842,20442,2912,14057,2382,23889,2776,19855,2242,26704,2427,23690,2305,14700,2343,8324,1540,2137,658,961,579,34508,1785,43821,1499,15954,484,86693,4755,17288,1424,24782,1620,20863,722,34878,2182,26197,837,24.2,2.1,36.3,3.3,41.7,9.0,8.4,1.9,10.9,3.4,21.3,14.2,45.2,4.1,57.4,4.8,55.4,13.2,27.7,2.0,43.9,4.4,43.8,4.5,50.5,6.7,41.1,5.0,22.3,1.5,22.8,1.7,19.7,2.6,26.6,2.5,32.7,2.6
5000900US0200,0200,"Congressional District (at Large) (109th Congress), Alaska",476403,1190,337929,4726,330672,5040,302307,5308,28365,2629,7257,1137,138474,4681,330672,5040,8.6,0.8,234703,1158,152446,3333,151736,3418,140918,3433,56898,2244,32694,2610,117521,2507,82305,3894,294690,5226,200952,5850,44555,3263,3573,956,19368,1892,14175,1633,12067,1657,18.3,0.6,302307,5308,107171,4672,47024,3061,75556,3793,3324,903,39431,3114,29801,2230,11119,1646,29384,2639,6680,1322,6457,1361,36867,3307,25942,2491,7990,1450,14452,2010,22672,2207,65515,3471,25051,2118,15980,2139,34198,3213,197056,5059,78972,4104,25461,2485,818,347,233252,2012,14670,1756,10256,1237,22553,2037,20969,2104,32625,2583,49028,3042,32760,2389,33763,2486,10332,1466,6296,934,56234,1807,70878,2184,206532,2567,67273,2200,40952,2149,11702,446,39467,2179,22066,1558,6068,1014,6304,878,15346,1889,3660,442,17123,1561,157187,3442,6419,1248,4064,866,12906,1930,11851,1501,20798,2120,33323,2538,26235,2234,27944,2223,8269,1326,5378,906,67084,2192,80026,2982,26310,765,76065,3726,36302,1843,47396,2650,30388,585,50367,994,37475,1444,8.3,1.1,11.4,1.5,8.0,2.8,3.5,0.9,3.9,1.2,3.0,2.0,25.3,4.1,28.8,4.8,21.1,11.5,11.2,1.0,14.5,1.8,13.7,1.8,13.6,2.7,13.8,2.1,9.8,0.9,10.1,0.9,7.0,1.6,9.1,1.2,20.7,2.1
5000900US0401,0401,"Congressional District 1 (109th Congress), Arizona",515710,5505,292295,5895,292010,5933,266385,6128,25625,2173,285,376,223415,5787,292010,5933,8.8,0.7,265950,2967,133147,4138,132983,4159,120153,4121,53480,2491,30183,2779,109966,3859,69442,4397,258331,6356,193114,6697,33964,3560,1513,612,11817,1915,6973,1705,10950,1936,21.1,0.9,266385,6128,78700,4328,52308,3660,64078,4491,2506,922,38331,2942,30462,2988,11494,1900,30857,2984,14796,2165,5063,1265,30884,2900,14181,1902,3087,808,12343,2309,14982,2225,59227,4119,33656,3304,13356,2646,22459,2597,178736,4913,67500,4037,19077,2328,1072,470,252730,3972,28510,2811,17815,2746,39357,2995,34880,3143,42298,3861,46778,3231,22711,2446,13922,1627,3086,697,3373,822,36555,1099,47319,1594,185349,4197,47830,1797,84429,2997,13738,394,53881,2933,16982,1027,12380,1764,7259,636,11126,1568,2487,416,30836,2676,174496,3893,15743,1851,7544,1380,22601,2353,24865,2955,29992,3102,36793,2957,19410,2251,11929,1509,2561,656,3058,813,41678,1344,53436,2019,18121,560,78234,4467,23821,1175,31782,1460,23098,847,37492,1836,29464,1522,15.4,1.4,23.3,2.3,26.6,7.7,8.9,1.5,12.4,2.6,18.0,9.2,36.6,4.6,46.1,5.5,43.2,17.9,20.7,1.4,28.6,2.3,28.2,2.3,31.3,5.3,27.1,2.5,17.9,1.4,18.9,1.5,13.7,2.0,18.8,1.5,30.4,2.5
5000900US0402,0402,"Congressional District 2 (109th Congress), Arizona",656835,14101,384212,10899,381069,10931,355330,10462,25739,3176,3143,871,272623,8118,381069,10931,6.8,0.8,339062,8625,175136,5962,175070,5962,163626,5853,66327,4886,38778,4060,132945,8236,86678,7656,348715,10397,275426,9519,46923,4688,3155,1447,4732,1044,5254,1124,13225,2048,26.0,0.7,355330,10462,115777,6064,59198,4454,100376,5518,1482,706,40601,3856,37896,3341,2923,1225,36350,4133,23956,2468,11783,1911,50520,4401,19095,2376,7091,1379,32900,3528,30182,3232,72673,5603,33471,3655,13826,2499,20560,2717,279349,10123,52184,3543,23031,2801,766,435,320857,6599,20028,2349,18519,2308,35248,3335,38742,2888,52917,3934,68618,4706,41758,2974,31125,2843,9463,1404,4439,908,48006,1936,58745,1266,230281,6482,60291,1468,117722,3698,14948,324,83634,4244,19981,887,9696,1410,7540,576,5639,1412,2885,855,19596,2667,230796,6428,9582,2036,6870,1448,19879,2672,26138,2502,37980,3631,55930,4322,34980,2837,27111,2373,8139,1232,4187,926,55904,1544,65987,1512,23183,541,90061,4422,29290,1819,36540,1861,28922,959,41405,929,31895,756,7.4,1.0,12.1,2.1,21.5,7.3,4.2,0.8,5.7,1.6,7.2,4.8,24.5,4.9,33.6,6.7,65.7,15.6,9.9,1.1,14.6,2.5,13.7,2.6,20.3,5.8,11.2,2.4,8.4,0.7,8.9,0.9,6.7,1.0,8.3,1.2,19.2,1.8
