-- this is a comment
1,b,c
-- those are the variabe names
0.0647124934475869,1,2015-06-07
0.6766124018467963,2,2014-01-01
0.735371692571789,3,2013-02-04
0.1112996672745794,4,2014-01-01
0.04665461787953973,5,2015-06-07
0.13091031229123473,6,2014-01-01
-- this is another comment
0.8809563652612269,7,2013-02-04
0.8397254894953221,8,2014-01-01
0.8681427200790495,9,2015-06-07
0.033382926136255264,10,2014-01-01
0.1079069955740124,11,2013-02-04
0.5492968892212957,12,2014-01-01
0.10931774252094328,13,2015-06-07
0.7225905163213611,14,2014-01-01
0.7250102756079286,15,2013-02-04
0.7895218627527356,16,2014-01-01
0.6174782447051257,17,2015-06-07
0.503007366321981,18,2014-01-01
0.45614942302927375,19,2013-02-04
0.034665802493691444,20,2014-01-01
0.20963884331285954,21,2015-06-07
0.3427872792817652,22,2014-01-01
0.5455948007293046,23,2013-02-04
0.7694844163488597,24,2014-01-01
0.42876468366011977,25,2015-06-07
0.6864616710226983,26,2014-01-01
0.5218689884059131,27,2013-02-04
0.7965363683179021,28,2014-01-01
0.9030520282685757,29,2015-06-07
0.43245716392993927,30,2014-01-01
0.3319404732901603,31,2013-02-04
0.9171145560685545,32,2014-01-01
0.20927971275523305,33,2015-06-07
0.8127347447443753,34,2014-01-01
0.3007128182798624,35,2013-02-04
0.5721824544016272,36,2014-01-01
0.3867821746971458,37,2015-06-07
0.2794816745445132,38,2014-01-01
0.26004286762326956,39,2013-02-04
0.9593836087733507,40,2014-01-01
0.6341325847897679,41,2015-06-07
0.08187725697644055,42,2014-01-01
0.9262062406633049,43,2013-02-04
0.8909425304736942,44,2014-01-01
0.9120850106701255,45,2015-06-07
0.7184985622297972,46,2014-01-01
0.6825277132447809,47,2013-02-04
0.5551864604931325,48,2014-01-01
0.4017094357404858,49,2015-06-07
0.8638377904426306,50,2014-01-01
0.07441394869238138,51,2013-02-04
0.2832844858057797,52,2014-01-01
0.16263743536546826,53,2015-06-07
0.7638965845108032,54,2014-01-01
0.116375716868788,55,2013-02-04
0.1674718214198947,56,2014-01-01
0.4758835213724524,57,2015-06-07
0.00578844198025763,58,2014-01-01
0.9744132903870195,59,2013-02-04
0.11414775857701898,60,2014-01-01
0.08077430888079107,61,2015-06-07
0.322919440921396,62,2014-01-01
0.11878509493544698,63,2013-02-04
0.9857724690809846,64,2014-01-01
0.40414764382876456,65,2015-06-07
0.24178190645761788,66,2014-01-01
0.3548789082560688,67,2013-02-04
0.15324008418247104,68,2014-01-01
0.2875476262997836,69,2015-06-07
0.25667214719578624,70,2014-01-01
0.15769025078043342,71,2013-02-04
0.029771646484732628,72,2014-01-01
0.8116283717099577,73,2015-06-07
0.5791728151962161,74,2014-01-01
0.576731939567253,75,2013-02-04
0.7014868652913719,76,2014-01-01
0.06376620032824576,77,2015-06-07
0.5024828985333443,78,2014-01-01
0.3839499510359019,79,2013-02-04
0.42641634843312204,80,2014-01-01
0.5443901622202247,81,2015-06-07
0.6436382066458464,82,2014-01-01
0.791192386765033,83,2013-02-04
0.8468533975537866,84,2014-01-01
0.0726263104006648,85,2015-06-07
0.860110642388463,86,2014-01-01
0.9561646366491914,87,2013-02-04
0.9264191566035151,88,2014-01-01
0.05396365956403315,89,2015-06-07
0.24640946392901242,90,2014-01-01
0.48736966983415186,91,2013-02-04
0.10006338218227029,92,2014-01-01
0.19515925669111311,93,2015-06-07
0.2135715247131884,94,2014-01-01
0.2076822326052934,95,2013-02-04
0.028771426528692245,96,2014-01-01
0.23456642753444612,97,2015-06-07
0.10718522011302412,98,2014-01-01
0.27731579006649554,99,2013-02-04
0.6960219545289874,100,2014-01-01
0.26625739177688956,101,2015-06-07
0.660476814256981,102,2014-01-01
0.21241651801392436,103,2013-02-04
0.005266101565212011,104,2014-01-01
0.10290250624530017,105,2015-06-07
0.2874000014271587,106,2014-01-01
0.44415609654970467,107,2013-02-04
0.692992779891938,108,2014-01-01
0.02088431641459465,109,2015-06-07
0.9557517692446709,110,2014-01-01
0.8041106241289526,111,2013-02-04
0.9117398897651583,112,2014-01-01
0.3094667959958315,113,2015-06-07
0.32392787700518966,114,2014-01-01
0.1383597783278674,115,2013-02-04
0.9575606198050082,116,2014-01-01
0.23266917583532631,117,2015-06-07
0.023714907467365265,118,2014-01-01
0.05211162683553994,119,2013-02-04
0.9327197337988764,120,2014-01-01
0.038751502288505435,121,2015-06-07
0.8071136623620987,122,2014-01-01
0.6968820991460234,123,2013-02-04
0.3880507869180292,124,2014-01-01
0.3905833656899631,125,2015-06-07
0.9823325672186911,126,2014-01-01
0.2167650570627302,127,2013-02-04
0.5669596628285944,128,2014-01-01
0.9803356181364506,129,2015-06-07
0.5745583109091967,130,2014-01-01
0.632866843836382,131,2013-02-04
0.7829929213039577,132,2014-01-01
0.8568756126333028,133,2015-06-07
0.041593013098463416,134,2014-01-01
0.8952250233851373,135,2013-02-04
0.1885165856219828,136,2014-01-01
0.3873418839648366,137,2015-06-07
0.4945020244922489,138,2014-01-01
0.3703163624741137,139,2013-02-04
0.693625106709078,140,2014-01-01
0.7331550845410675,141,2015-06-07
0.3085497338324785,142,2014-01-01
0.9724418958649039,143,2013-02-04
0.24333434086292982,144,2014-01-01
0.8350281389430165,145,2015-06-07
0.39057589625008404,146,2014-01-01
0.9088636969681829,147,2013-02-04
0.6075662951916456,148,2014-01-01
0.6074950532056391,149,2015-06-07
0.8943271448370069,150,2014-01-01
0.9752883885521442,151,2013-02-04
0.6763512077741325,152,2014-01-01
0.0911386099178344,153,2015-06-07
0.7779493022244424,154,2014-01-01
0.5175443936605006,155,2013-02-04
0.6523701692931354,156,2014-01-01
0.3392976955510676,157,2015-06-07
0.2921204313170165,158,2014-01-01
0.7837124224752188,159,2013-02-04
0.3199657828081399,160,2014-01-01
